ajoneuvoluokka,merkkiSelvakielinen,kaupallinenNimi
L3e,TM Racing,250 J
L3,Harley-Davidson,FLSTS  SOFTAIL SPRINGER/1449
L1e,Monark,MK61K
L3,Honda,V 65 SABRE
L3e,KTM,KTM 1290 Superduke R (127 kW)
L3e,Honda,NT700 VA
L3,Jawa,355/123-57
L3e,Jawa,CZ-250 / Typ 353
L3e,KTM,KTM 1190 Adventure (110 kW)
L3e,Kawasaki,W 650
L3,Harley-Davidson,FLSTNI
L3,Kawasaki,Kawasaki Avanger 350SS
L3e,TM,250 4 tempi
L3,Honda,VT700C
L3e,Beta,RR 250
L3e,Sherco,2.5i
L3e,Harley-Davidson,FLH80
L1,Rabeneick,Binetta III -53
L3e,Kawasaki,NINJA ZX-6R ABS
L3e,Kawasaki,1400GTR ABS
L3e,Kawasaki,VULCAN 900 CLASSIC
L3e,Kawasaki,VERSYS 650 ABS
L3e,Kawasaki,NINJA 250SL ABS
L3,Jawa-CZ,553-03/249-64
L3e,Suzuki,VS1400 GLP
L3e,Husaberg,HUSABERG TE 01
L3e,Sherco,250 2st
L3e,Yamaha,YZF-R 125
L1e,Kymco,KYMCO SUPER FEVER
L3e,KTM,KTM 1190 Adventure R (110 kW)
L3e,KTM,KTM 690 ENDURO R
L3,Honda,Honda VF 1100S
L3e,TM Racing,250 2TEMPI
L3,Triumph,500 TRW
L1,Tunturi,L�hetti Automat VS50 KA71/49
L3,Harley-Davidson,FXRS LIBERTY-EBL/1340
L3e,KTM,KTM 125EXC
L1,Tunturi,MAXI- PUCH VS50
L3e,KTM,KTM 690 Duke (50 kW)
L3e,Jawa-CZ,Java-CZ
L3e,Yamaha,YP400RA
L1,Tunturi,LF2-65/49-
L3,Honda,GL 1100 ASPENCADE
L3e,Ducati,Ducati Scrambler
L3e,Beta,430
L3,Simson,425 S / 247
L1e,SYM,JET4
L1e,SYM,CROX
L1,Yamaha,Chappy
L3,Honda,Honda CB 750C
L2e,Piaggio,APE 50 CROSS
L3e,Kawasaki,VULCAN S ABS
L3e,Yamaha,MT125A
L3e,KTM,KTM 1290 Super Adventure (118 kW)
L3e,KTM,KTM 1050 Adventure (70 kW)
L3,Benelli,Tornado 650 S2
L1,Honda,CF 50
L3e,Honda,GL 1500C-F6C-SC34
L3e,Triumph,Tiger XRX
L3,Honda,CB 900F2
L1e,Velosolex,VELOSOLEX 3800
L3e,Kawasaki,Z300 ABS
L3e,Moto Guzzi,GRISO 1200_8V_SE
L3,Triumph,Triumph T 120 Bonneville
L3e,Harley-Davidson,FLS
L3e,Aprilia,MOJITO 125-RYB1/124
L3e,Triumph,TIGER XCX
L3,Honda,Gold-Ving GL1500
L3,Triumph,5T Speed Twin
L3,Harley-Davidson,ULH
L3e,Yamaha,TT250R
L3,Harley-Davidson,FLTRI
L1e,Yamaha,YAMAHA FS1
L3e,Yamaha,YZF-R 125A
L3e,BSA,ZB 32 Gold Star
L3,IC,IC 49
L1e,Znen,ZN50QT-27
L1e,SYM,SYMPHONY ST
L3,Yamaha,Xs 650 Se
L3e,Moto Guzzi,CALIFORNIA 1400 ABS TOURING SE
L3e,Moto Guzzi,V7 STONE ABS NERO
L3e,Suzuki,AN400A
L3e,Kawasaki,ZX 750-A1
L3e,BMW,C 600 SPORT
L3e,Honda,CB650FA
L3,Dnepr,MT-9
L3,Harley-Davidson,FX-1340
L3e,Triumph,Street Triple RX
L1,Rabeneick,Binetta 3-50
L3e,Victory Motorcycles Division,Gunner
L1e,PGO,LIGERO 50
L3e,Indian Motorcycle,Scout
L3e,Victory Motorcycles Division,Magnum
L3e,Harley-Davidson,CVO ROAD GLIDE ULTRA
L3e,Moto Guzzi,CALIFORNIA TOURING S.E. MARRON
L1,Solifer,SPEED 4V-72/49
L3e,Yamaha,XVS650-VM02
L1,Jawa,BABETTA MS 50
L3,Yamaha,XV750 -5G5/748
L3e,Honda,ST 1100-SC26 PAN EUROPEAN
L3e,KTM,KTM 690 Enduro R(49KW)
L1,Puch,NEVADA
L1e,AGM,Ogan caffe
L1,Solifer,Export 68-2LT-F-38/48
L3e,BMW,R 1200 RS
L3e,Motorhispania/MHMotorcycle,MH10 125 cc. LC
L3e,Honda,valkyrie interstate
L1,Tunturi,L�HETTI AUTOMAT-VS50 AF/49
L3e,Honda,Goldwing GL1800
L3e,Honda,VFR800F2
L3,Winha,AUTOMATIC-340
L3e,Ducati,1299 Panigale S
L3,Yamaha,XJ700 MAXIM X
L3e,Honda,XL1000V-VARADERO
L3e,Yamaha,FJR1300A-RP116
L3e,Kawasaki,NINJA H2
L3,Norton,Atlas
L3e,Harley-Davidson,Screamin' Eagle Road Glide
L3,Suzuki,GS 1100 L
L3e,Harley-Davidson,FLHTC-ELECTRA GLIDE CLASSIC-FF4
L3,Yamaha,XV 1600A
L3,Suzuki,DR650SE-SP46A/644
L3,Suzuki,DR800SU
L1,Fantic,CONCORD LEI
L3e,Peugeot,Django
L3e,Jawa,Sportard
L3,Harley-Davidson,Electra Glide Sport
L3e,Beta,RR4T 450CC MY 10
L3,Harley-Davidson,FXDL DYNA
L3e,Xmotos,XB-33-125L
L3,Harley-Davidson,FXDBI Dyna Street Bob
L1e,Yamaha,YE50
L3e,Indian Motorcycle,Roadmaster
L3,AMERICAN IRONHORSE,TEJAS CHOPPER
L3e,Beta,250 RR
L3e,Ducati,1299 Panigale
L3e,Moto Morini,Moto Morini
L3e,TM Racing,250 2 tempi
L3,Matchless,T/R 350
L3e,HM,F 300X
L1,Lambretta,LUNA
L3e,Suzuki,GSX-S1000
L3e,KTM,KTM RC 390
L3,IFA,RT125
L3,Yamaha,125 AS 3
L3e,KTM,KTM 640 SM
L3e,Triumph,Thunderbird Nightstorm
L3e,KTM,KTM E-XC
L3e,Yamaha,SR-400
L3e,Harley-Davidson,FXDB Street Bob
L3,Moto Guzzi,Ambassador
L3,Honda,GOLD WING GL1500-6-SC22
L2,Erkkola,MOE 2
L1,Crescent,Saxoped
L1e,Keeway,Zahara
L3,Yamaha,WR426F-CJ02W/426
L3,Messerschmitt,KR 200
L1,Jupiter,TT
L3e,Moto Guzzi,V7 II SPECIAL
L2e,Piaggio,APE 50 PICK UP
L3,Excelsior,Roadmaster
L1,Öglaend,SAFIR
L3,Honda,ST 1100A PAN EUROPEAN
L1e,Helkama,De Luxe
L3e,Beta,Motard 4T LC 125cc
L3e,VINCENT,Comet 500/499
L3e,BMW,R12T
L3,Harley-Davidson,FXS Shovel
L3,Harley-Davidson,FLHRI SHRINE ROAD KING-1449
L3e,Honda,ColdWing
L3,Raleigh,15 De Luxe
L3,Harley-Davidson,FLHXI-1584
L3e,Suzuki,UK110
L3,Triumph,Thhunderbird Sport
L3e,Peugeot,Danjgo
L1,Jawa,Babetta 207.300
L3,Honda,VF 500 FII
L1e,Zhenhua,ZH-SR50A-1
L3,Honda,Cx 500 C Pc01
L1,Pyrkij�,50 N 2 F
L3e,Honda,CBR650FA
L3e,Harley-Davidson,FWG DYNA
L3e,Boss Hoss,Boss Hoss BHC-3 ZZ4
L1e,Goldie,SPORT-2MA/47
L3,Harley-Davidson,FXST SOFTAIL-BHY/1449
L3e,Yamaha,XVZ 1300TF VP09
L1e,Fantic,Caballero 50
L3,Pannonia,TLT6-3/247
L3e,BMW,S 1000 XR
L3,Victory Motorcycles Division,VEGAS
L3,Harley-Davidson,FLTC
L3,Honda,CB750 K4
L3,Harley-Davidson,SOFTAIL-BHL/1340
L1,Tunturi,Automat AF
L3,Royal Enfield,Meteor Minor De Luxe
L1,Tunturi,PAPPATUNTURI
L3e,Ducati,MULTISTRADA 1200
L3,Suzuki,Suzuki Gs 1000
L3e,Heinkel,Tourist 103 A2
L1e,Tunturi,Start vs50
L3,Harley-Davidson,Fxrt
L3e,BMW,K100-100/987
L3,Vespa,RALLY VSD-1T-1M/180
L1,Fram,Clipper
L3,BMW,BMW R45
L1,Tunturi,03020 5 LF
L3,Honda,CB125 K5/124
L1,Monark,Monarpeden 349 F/49
L3e,Yamaha,Fz6
L3e,Suzuki,GSF 650K7
L3,Honda,GOLD WING SE- GL1500-SC22/1520
L1,Tunturi,50/49-
L1,SPARTA,SPARTA
L3,Honda,CX500-PC01
L3e,Suzuki,INTRUDER VL1500
L3,Harley-Davidson,FXDWG DYNA WIDE GLIDE/1585
L1,Jupiter,GARELLI
L1e,Solifer,Export F-38
L3,Suzuki,GS 1100 Ge
L1e,Otto,Tomos/49
L3e,Suzuki,VL 1500 INDTRUDER LC
L3,Donau,Hobby
L1,Solifer,Export/49
L1,Simson,Spatz SR4-1
L3,Ariel,RedHunter
L3e,Harley-Davidson,FLHTCUI Ultra Classic Electra Glide
L1,Solifer,SM77A
L3e,Honda,VF700 MAGNA
L1e,Solifer,EXPORT-3PL/49
L3e,Yamaha,XVZ1300A ROYAL STAR-4YP
L1,Mobylette,AV-7/49
L3e,Generic,XOR 125
L3,Harley-Davidson,XLH/-SPORTSTER-997
L3e,Suzuki,VANVAN 125 (RV125)
L3e,Triumph,Tiger XR
L3,Harley-Davidson,Dyna Street Bob
L3e,Harley-Davidson,fxsts Softail Springer
L1,Tunturi,VF50
L3e,Honda,Goldwing GL 1200 A
L3e,MZ,ES 175/172
L3,Victory Motorcycles Division,Vegas Jackpot
L3,Ducati,Multistrada 1000DS
L1,Öglaend,SWING
L3,Harley-Davidson,FLTR-I Road Glide
L3e,Fantic,Caballero 125
L3e,Moto Guzzi,Audace
L3,Harley-Davidson,ultra classic
L1,Puch,Montana
L3e,Vespa,VESPA P200E
L1,Tunturi,START PUCH VS50KX/49
L3e,NSU,Maxi 175-OSB
L3,Harley-Davidson,DYNA WIDW GLIDE FXDWGI
L3e,Yamaha,YZF-R3A
L3e,Moto Guzzi,California Touring
L3e,Honda,XL 600V
L3,Kawasaki,KZ250E
L3,Harley-Davidson,FLTRSEI ROAD GLIDE
L3,Vespa,GL150 VLA1T/145
L1,Simson,Suhl
L3,Honda,Honda Gl 1100 Sc02
L3e,Triumph,Street Triple R
L3,Honda,HONDA CM 400 T NC 01
L1,Suzuki,SOLIFER S
L3e,Yamaha,XT 400 5Y6
L1,Monark,Monarpeden 24F/49
L3e,IFA,RT-125/1
L1,Predom Romet,Kadet
L3e,Moto Guzzi,NEVADA 750 GREEN GIADA
L1e,Crescent,Sport
L3e,Harley-Davidson,FLSTFB
L1,Simson,SR 1
L3,Jawa-CZ,250/248-57
L3,Suzuki,SUZUKI GS 1100 G
L3,Dunstall,Dunstall Norton
L3e,Triumph,Legend
L1,Helkama,Mini 2M/49
L3e,Ducati,Multistrada 1100S
L3,Harley-Davidson,FLHRTI Road Glide
L3e,TM Racing,125-SMR
L3e,BMW,R 65 GS
L3e,Aprilia,Scarabeo 500 Leggero
L3,Honda,NX650 DOMINATOR-RD08/644
L3e,Honda,NSS125AD
L1e,Tunturi,SUPER SPORT VZ50N4
L3,Honda,CBX 600E
L3e,Harley-Davidson,"FXSTC,FXSTS"
L3e,Husaberg,FE 501 E
L3e,Vespa,145 GL
L3,Victory Motorcycles Division,HAMMER
L1,Solifer,Export /49
L3e,Moto Guzzi,California
L3,Harley-Davidson,FXST BKL/1340
L3e,Moto Guzzi,Griso 1200
L3e,Kawasaki,MACH IV 750 H2
L3,Jawa-CZ,148/150
L3,Suzuki,Suzuki Gsx 400 E
L1,Husqvarna,Roulette lyx
L1e,Novum,Emco
L3,Jawa,Typ 18 Perak 350
L3e,MZ,RT 125/2
L3e,Harley-Davidson,ELECTRA
L3,Buell,M2 CYCLONE
L3e,Honda,FJS600D
L3e,CZ,150c
L1e,Tunturi,City S
L3e,Honda,GL1500-SC22
L3,Honda,VF1000F-SC15/998
L3e,KTM,690 SMC R
L3e,Triumph,3HW
L3,Kawasaki,ZXR 400
L3,Indian,Scout
L3,Vespa,VESPA Sprint 150
L3,Monark,M65
L3,Honda,Honda CB 750 K
L1e,Tunturi,LF268/49
L3,Honda,Vtx1800c
L3e,Harley-Davidson,XLH 883 Hugger
L1,Solifer,Export Automat
L3e,Kawasaki,KAWASAKI En500-C8
L3e,IZ,IC-49
L3,Honda,VF 700 C Magna
L3e,BMW,F 800 GS ADVENTURE
L3,K-750,750M
L3,Jawa-CZ,352/150
L3e,Moto Guzzi,ELDORADO
L3e,BMW,R 1150 GS ADVENTURE
L1,Tunturi,SPORT-PUCH
L1e,KTM,MACINA MOTO GPS+45S
L1e,Tunturi,LF2 65/49
L1,Tunturi,VS 50 LF MAXI
L3,Ducati,851 Sp
L3e,Harley-Davidson,XL 883N Badlander
L3e,Honda,ST1300 A
L3,Heinkel,TOURIST
L3e,Jawa,typ 579
L3,Kawasaki,Zephyr 1100
L1,Jawa,551
L2e,GRALLE,KN50ZH
L1,Tunturi,TRIAL 80-PUCH VZ50N4/49
L3e,Triumph,Tiger XCA
L3e,Honda,NC700SD
L3e,Honda,GOLD WING ASPENCADE -GL1500-SC22
L3e,Honda,VF1000R-SC16/998
L1,Tunturi,Tunturi Puch VS 50 LF
L3e,Piaggio,Vespa LXV 125
L1,Solifer,Trial
L3,Kawasaki,KL250A
L1,DKW,Hummel 155/48
L3,Kawasaki,Z1100 ST/A3
L3e,Honda,50 SPORT C 110
L3e,Triumph,TIGER XRX
L3,Harley-Davidson,FLH CLASSIC
L3e,Harley-Davidson,FXST-SOFTAIL-BHL
L3e,Jawa,Cezeta 501
L3,CZ,475 Sport
L3,Yamaha,R1-Z
L1,Ducati,55/e
L3e,MV Agusta,Turismo Veloce
L3,Honda,50 SPORT
L1e,Xinri,SEV EM05
L1,Camping,LUXUS 64/49-
L3e,Moto Guzzi,CALIFORNIA CUSTOM NERO BASALTO
L1,Tunturi,MAXI-PUCH LF2-68/49
L3,Kawasaki,Z1300-6-KZ1300A-KZT30A
L1,Tunturi,PUC VS 50 LF
L1e,Vespa,PIAGGIO-VESPA 50 SPECIAL
L3,Zundapp,KS 601
L1,Honda,CY 50
L3,BMW,GT K1600
L3,Jawa-CZ,125
L3e,Moto Guzzi,V7 II
L3,Yamaha,Xs 650 Se 3L1
L1e,Monark,MONARPEDEN 34 F/49
L3,BSA,ROCKET THREE EXPORT
L3,Honda,VT500 C
L3,Harley-Davidson,Harley-Davidson Fxstsb
L3,Husqvarna,MOD 301
L3,SYM,AJ12W ALLO 125
L3,Vespa,Scooter / 125
L1e,Jupiter,JUPITER SUPER
L3e,Beta,RR300
L3e,Moto Guzzi,CALIFORNIA 1400
L2e,Erkkola,MOE2
L1e,Wangye,WY50QT
L3e,Piaggio,Vespa LX 125 I.E.
L1,Helkama,HOPEASIIPI
L3e,Yamaha,DRAG STAR XVS 1100A
L3e,Moto Guzzi,V7 STONE ABS ROSSO
L1,Tunturi,62
L1,Solifer,SM 77 A
L1,Solifer,SM 79-Tomos 4V-49
L3e,SWM,RS650R
L3,AJS,9.96hp Twin cylinder Model S2
L3e,Harley-Davidson,VRSCAWA V-ROD
L1e,Favor,EXO
L1,Tunturi,P 50
L1e,Tunturi,SPORT VS50KX3-71749
L3,Honda,VF 1100 Custom Magna
L3,Honda,FX650
L3e,KTM,KTM Duke II
L1,Tunturi,SPORT KROM Puch VZ 50 K4X
L2,Crescent,MCB 1189
L1,Tempo,Comet Swing
L1e,Tunturi,Autostart-Puch VS50 KA / 49-
L3e,Yamaha,XVS1100 DRAG STAR CLASSIC-VP055/1063
L1,Crescent,COMPACT 1203-MCB/49
L1,ZENITH-�GLAND,Swing
L3,Jawa,354 / 344-57
L1,Monark,Scoot 24 F / 49
L3,NSU,Maxi
L3,Vespa,Super Sport VSC1T/181
L3,Raleigh,2 3/4 h.p. Model
L3e,MV Agusta,Turismo Veloce Lusso
L3,Suzuki,GV 700 MADURA
L3,Jawa-CZ,Typ 356
L3,Jawa,Typ 550
L3,Royal Enfield,g
L3e,Kawasaki,KLR 250
L3,Harley-Davidson,FLTR-I ROAD GLIDE
L3e,Harley-Davidson,ROAD GLIDE ULTRA
L3e,Harley-Davidson,1200 Custom Limited B
L3,Jawa,Jawa 350
L3e,Yamaha,YZF-R6R
L3e,BMW,R 1200 GS  0A11
L3e,Aermacchi,Chimera 250
L1,Solifer,4-SPEED
L3e,TM Racing,125 2 tempi
L3e,TM Racing,250 4tempi
L1e,Sky Team,ST50-8
L1,Tunturi,SuperSport
L3,Honda,ST 70 DAX
L1e,Emco,NOVAX
L3e,Suzuki,UH200
L1,Tunturi,VS 50 KA automat
L3,BSA,Bsa 65
L3e,Harley-Davidson,Softail Slim S
L3,Lambretta,Vega 75
L3,Honda,CB 400 F
L3e,Beta,RR 4T 450CC Euro3
L3,Honda,CX 500 CUSTOM
L3,Yamaha,XJ 700 MAXIM S
L1,Ase,E 2
L3,Triumph,ROCET 111 TOURING
L3e,Triumph,TROPHY 1200/4
L3,Indian,Chief Roadmaster
L3e,Brammo,Empulse R
L3,Honda,XR 650R (RE01)
L3e,Harley-Davidson,POLICE ELECTRA GLIDE
L3e,Harley-Davidson,POLICE ROAD KING
L1,Solifer,Speed 73
L3e,Honda,XL 125 S
L3e,BMW,C 650 Sport
L1e,Rieju,Rack
L3,AWO,425 Tours
L1,Bauer,B50 SPORT
L3e,Honda,CBX 1000 Super Sport
L3e,Harley-Davidson,FLHTKL ULTRA LIMITED LOW
L3,Honda,Honda CM 400 Custom
L3,Vespa,GS 160
L1,Zundapp,GTS-50
L3e,Husqvarna,Husgvarna mod kaf 256a
L1,Jupiter,SPORT
L3,Ossa,250 PLONKER
L3e,Moto Morini,Kanguro
L3,Harley-Davidson,Fxs 80
L3,Jawa-CZ,JAWA CZ 352/148
L3,BMW,R35/340
L3,Vespa,ACMA
L3e,Harley-Davidson,FLHTCI TOURING
L3,Honda,GL 1100 Aspencade
L3e,Honda,Honda Cb 900 F2 sc09
L3e,Harley-Davidson,FLHRCI TOURING
L1e,AGM,CAFERACER 50
L3e,TM Racing,250 2tempi
L3,Jawa,350/18
L1,Zundapp,Combinette S
L3,Jawa-CZ,CZ 175
L3e,TM,250 G
L3e,Honda,CB 450 K1
L3e,BMW,R80RT
L3e,Beta,RR 480
L3e,Husqvarna,701 Enduro (49kW)
L1,Piaggio,Si
L3e,Monstra,LX450E
L3,TMZ,TULICA
L3,MOTO VAP,SPOUTNICK 16/97
L3e,AGM,VX 125
L3e,Husqvarna,TE 250-/249
L1e,SCOMADI,Turismo Leggera 50
L3e,Harley-Davidson,FLHTK ULTRA LIMITED
L3,Honda,CL 250 S
L3,Harley-Davidson,FLD SWITCHBACK (FD2)
L1,Vespa,50 R
L3e,TM Racing,250 2 TEMPI
L3e,Yamaha,XSR700
L1e,Solifer,Pappa 50
L3e,Sherco,300 2st
L3e,Suzuki,VLR 1800 LC INTRUDER
L1,Honda,MONKEY Z 50 J
L3e,Harley-Davidson,FLSTCI HERITAGE SOFTAIL CLASSIC
L3e,Yamaha,XV1900a
L3,AWO,425/247-56
L3e,Honda,CRF1000A
L1,KOMAR,MR 232
L3e,Beta,-
L3e,Sherco,2.5 i
L3e,Husqvarna,256a
L3e,Yamaha,MTN320-A
L3e,Honda,CRF1000D
L3,IC,350 M56
L1e,Peugeot,Citystar
L3,Norton,Commando Hi-Rider
L3,EMW,R-35-3
L3e,Honda,CBR1000S
L1,Tunturi,Sport 65-LF3
L3e,KTM AG,KTM 690 Duke R
L3,Puch-Tunturi,DS60R
L3e,Ducati,Hypermotard 939 SP
L3e,BMW,BMW F 650 Gs Dakar M!
L3e,Yamaha,XT660ZA
L1e,UGBEST,A9
L3,BMW,BMW R 61
L1e,Peugeot,Kisbee
L3,Heinkel,102 A-1 Tourist
L3e,Harley-Davidson,ELECTRA GLIDE ULTRA CLASSIC FLHTCUI
L3e,Sherco,300 SEF-R
L3,Harley-Davidson,FXRS-CON
L3e,Hanway,HW125
L3,Harley-Davidson,FLTR ROAD GLIDE
L3,Yamaha,TY 125
L3e,Beta,RR 390
L3,Jawa,Jawa CZ 150
L1,Crescent,1126K
L3,Yamaha,1600 A Wild Star
L3e,Ducati,XDiavel S
L1e,AGM,CAFERACER
L3,Yamaha,VMX1200-N/1198
L3e,Triumph,Street Twin
L3,Honda,ST 1100 PAN EUROPE
L1e,Piaggio,Liberty
L1,Velosolex,3800
L3,Honda,CB 450 Super Sport
L3,Honda,GL 1200L
L3,Honda,FT 500 Ascot
L3e,KTM AG,KTM 1290 Super Duke GT
L3,Harley-Davidson,FLST HERITAGE SOFTAIL-BJL/1340
L3e,Triumph,Tiger XCX
L3e,Triumph,Explorer
L3e,Husqvarna,701 Supermoto (49kW)
L3e,Indian Motorcycle,Scout Sixty
L1e,Fantic Motor,Caballero 50
L3e,Suzuki,DL650XA
L1,Fantic,Congord Lei
L3e,Gilera,Piaggio
L3e,Harley-Davidson,FLSTC 103 HERITAGE SOFTAIL CLASSIC
L3,Honda,XL 600 R Paris Dakar
L3e,Ducati,900 S2
L3e,Raleigh,MG -33 348CC SPORTS
L3e,BMW,R1150 R
L1,Tunturi,Start automat-Puch
L1,Solifer,SUZUKI PV50
L3e,Harley-Davidson,SOFTAIL SLIM S
L3e,Harley-Davidson,FAT BOY S
L3,AJS,America De Luxe
L3e,Peugeot,Satelis
L3e,Ducati,XDiavel
L3e,Ducati,Hypermotard 939
L1,KTM,EFTA
L3e,Ducati,Multistrada 1200 Enduro
L3e,Yamaha,MTM850
L3e,Yamaha,YAMAHA XV 1900A
L3,IFA,IFA RT-125
L3,Triumph,Daytona 1200
L3,Harley-Davidson,LFHT CLASSIC
L3e,Harley-Davidson,FLHX GLIDE STREET
L3,Yamaha,YAMAHA XV1600A
L3e,BMW,K 75 Rt
L3,Kawasaki,KAWASAKI VN 1500C
L3e,Yamaha,STREET AS3-125/124
L1,Helkama,MAJOR
L3e,Ducati,Monster 1200 R
L3e,Ducati,959 Panigale
L1,MUSTANG,596/49
L3e,KTM AG,KTM 690 Duke
L1,Solifer,TOMOS
L3e,Harley-Davidson,LOW RIDER S
L3e,Moto Guzzi,V7 STONE ABS GIALLO
L3e,Harley-Davidson,FLHTCUI TOURING
L1e,SYM,JET 4
L3,Suzuki,RF 900R
L3e,Harley-Davidson,FXSB Breakout
L3,Manet,S 100
L3,Honda,GL1200 ASPENCADE
L3e,Yamaha,XSR700 35kW
L1e,Solifer,4speed
L3e,MV Agusta,Brutale 800 Dragster RR
L1e,Riese & M�ller,Charger
L3e,Moto Guzzi,V9 ROAMER
L3e,Royal Enfield,CONTINENTAL GT
L3e,Moto Guzzi,ELDORADO RED
L3e,Moto Guzzi,V9 BOBBER
L3,Suzuki,SUZUKI VS 1400 INTRUDER GLP
L1e,Pyrkij�,CAMPING 805/49
L3e,Harley-Davidson,PRO STREET BREAKOUT
L3,BMW,R75/5
L3e,Harley-Davidson,FLTRX ROAD GLIDE CUSTOM
L3,Harley-Davidson,XLH 883 R SPORSTER-CKM/883
L1,Tunturi,CLASSIC-VS50KX/49
L3e,Harley-Davidson,VRSCDX NIGHT ROD  SPECIAL
L1,Solifer,Speed 3T
L1e,Solifer,Pappa
L3,BSA,STAR C 15
L3,Honda,S65
L1e,Solifer,FURIOUS
L3e,KTM,KTM 690 Enduro R (49 kW)
L3,BSA,B 25 SS
L3e,Ducati,Hyperstrada 939
L3,Husqvarna,Silverpilen 282
L3e,Husqvarna,TR 650
L1,Honda,Z50JE
L3e,KTM,"KTM 690 Duke R (51,5 kW)"
L3e,Triumph,Thruxton R
L3e,Keeway,Blackster
L1,Tunturi,65/49 VS50LF
L1e,Derbi,Senda SM 50 Xtreme
L3e,MV Agusta,F4 1000 S 1+1
L1e,Jupiter,Hercules 220
L3e,AMERICAN IRONHORSE,LSC
L1,Solifer,Export-P-49
L1e,Husqvarna,Husgvarna
L3e,Triumph,Speed Triple R
L3e,Indian Motorcycle,Chief Dark Horse
L3,BMW,BMW 100
L1e,Znen,ZN50QT-8C
L3e,Ducati,MONSTER 1100EVO
L3e,Kawasaki,Z 1300-A5
L3,Kawasaki,GPZ 750 TURBO
L1,Vespa,50 N
L3e,Yamaha,Yamaha WR 250F
L3,Triumph,350 Kongress
L3e,Ducati,Multistrada 1200 Pikes Peak
L3,Moto Guzzi,CALIFORNIA II-VT/948
L3e,Jawa,554-03/344
L1e,Beta,C2
L3e,BMW,K1-100RS
L3,Honda,NV 750 C
L3,Harley-Davidson,FLTC Tour Glide Classic
L3,Puch,250TF
L1e,Riese & M�ller,Load
L3e,Harley-Davidson,FLHX STERRT GLIDE
L3e,Zero,S ZF9.8
L3e,Zero,S ZF13.0
L3e,Zero,DSR ZF13.0
L3e,Zero,SR ZF13.0
L3e,Zero,FXS ZF6.5
L3e,Triumph,ROCKET 111 ROADSTER
L3e,Honda,GL1800a
L1e,Znen,ZN50QT-32
L3e,Suzuki,GSR 600
L3e,TM Racing,125 2tempi
L1e,Solifer,YY50QT-21
L3,Yamaha,XT 600 TENERE
L3,IC,IZ 49
L1,Solifer,SM-TOMOS4V/49
L3e,Harley-Davidson,FAT BOY LO/SPECIAL
L3,Yamaha,Sport 80 YGS-1F
L3,Norton,16H
L3e,Victory Motorcycles,Octane
L3,Lambretta,DL 125
L3e,TM Racing,144 2 tempi
L3,Vespa,GRAND SPORT GL150 / 145
L3e,Harley-Davidson,VRSCF MUSCLE
L1e,Kymco,Agility 16+ 50
L3e,Kawasaki,Ninja ZX-10R ABS
L3e,SWM,GRAN MILANO
L3e,SWM,SILVER VASE
L3e,Vespa,Beverly S250
L3,Honda,SL-125S
L3e,Yamaha,MTN1000
L1,Tunturi,MAXI PUCH VS50 LF
L1e,Solifer,50QT-21
L3e,Moto Guzzi,V7 II STONE ABS MATT YELLOW
L1e,Sherco,50 SM
L1,Suzuki,SUZUKI S
L3e,SYM,JOYMAX 125 i GTS
L3e,Cezeta,502-01
L3e,Harley-Davidson,Electra Glide FLHT
L3,Harley-Davidson,FLTHTK
L3e,Moto Guzzi,AUDACE BLACK
L3e,Moto Guzzi,V9 ROAMER BIANCO
L3e,Harley-Davidson,ROADSTER
L1,Moto Guzzi,Dingo M
L1,DKW,504M
L1e,Keeway,X-BLADE
L3,Harley-Davidson,SOFTAIL XTC
L3e,Harley-Davidson,FLSTSB SOFTAIL
L2,NMV,Packi
L3,Ase,Capri/87-61
L1,Tomos,FLEXER
L1,Hopeasiipi,De Luxe
L3,Harley-Davidson,FLSTCI HERITAGE
L2,Norden,Express 1210
L1,Öglaend,Swing/47
L1e,Ter�s-Siipi,Ter�s-Siipi
L3,Triumph,SPEED TRIPLE-595-TE551XR3
L3,IC,JUPITER 3
L1,Tunturi,Supersport
L1e,Fantic,FANTIC TX 7 DEPUTY
L3,Jawa,125/123-57
L3,Ariel,Ariel Red Hunter Vh
L1,Öglaend,swing
L1,Victoria,M 51 Vicky L
L2e,Anaig,fix style
L1,Tunturi,Start VX59 KX/49
L3e,Triumph,T100C Tiger Competition
L1,Honda,HONDA ST50 DAX
L3,Yamaha,DT 175 MX
L3e,Jawa,Jawa 634
L3,MZ,SER-3 SCORPION REPLICA
L1,Crescent,1150 Sport
L1,Tunturi,Autostart - Puch VS 50 KA/49
L3,Honda,XL 250 Degree
L3,Triumph,T 20 SS
L3,Vespa,COSA LX 200-R1T/197
L3,Triumph,T 20
L1,Suzuki,SOLIFER PV-50
L1,Tunturi,START VS 50 KX
L3,Harley-Davidson,FLHPI ROAD KING POLICE
L3e,Piaggio,Vespa Primavera 125 ABS
L3e,Piaggio,MEDLEY
L3e,Piaggio,Vespa Sprint 125 ABS
L3,Jawa-CZ,358
L1,Tunturi,Autostart- Puch
L3,Aprilia,SCARABEO 150-PC00/150
L1,Tunturi,Tunturi Start
L3e,Kawasaki,VULCAN 1700 VOYAGER ABS
L1,Honda,HONDA MONKEY
L1,Mobylette,AV-7
L1e,Valenti Racing,RMEM50
L1,Öglaend-Hero,SWING-2MA/47
L1,Otto,Tomos / 49
L3e,Husqvarna,701 Enduro (30kW)
